SA3_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10102,4735,2606,956,290,29102
10103,1838,1275,609,216,10055
10104,8416,6871,3262,1246,36076
10105,2978,2224,1099,492,17016
10106,2974,2226,973,381,16616
10201,14735,10998,5784,2895,84870
10202,11464,8637,4990,2247,70673
10301,3725,2670,1155,474,22851
10302,4151,2998,1646,643,23328
10303,3828,2999,1408,428,21722
10304,4286,3003,1450,506,27003
10401,5016,3701,1803,690,23335
10402,8578,5801,2892,1269,42245
10501,1592,1013,520,148,9780
10502,1570,1017,525,315,8611
10503,5202,3348,1702,647,31231
10601,6415,4095,1777,632,38658
10602,4995,3016,1431,552,33289
10603,6322,5743,2717,965,34690
10604,1991,1193,581,253,12912
10701,5295,3218,1887,826,32885
10702,0,7,0,0,7
10703,7534,4980,2378,1033,42753
10704,10380,6760,3452,1329,67416
10801,3005,2945,1636,701,14905
10802,4922,3577,1766,771,22445
10803,44,19,12,4,223
10804,7321,6417,3569,1513,38899
10805,5306,4320,2048,819,24841
10901,4956,3154,1618,627,29096
10902,925,623,321,107,5222
10903,3445,2720,1505,588,18464
11001,3227,2314,1040,380,18336
11002,3191,2548,1210,442,16526
11003,1748,1047,560,179,10702
11004,6147,4168,2161,745,35764
11101,10148,7228,3775,1519,58297
11102,6241,4928,2562,1300,35784
11103,12641,7798,4066,2314,83588
11201,9000,5890,2544,1234,42310
11202,6886,4164,1783,738,32705
11203,8468,6301,3664,1753,44134
11301,3111,1904,1066,530,19775
11302,1219,861,430,205,6470
11303,7035,4427,2244,821,42647
11401,9733,8271,4221,1633,49603
11402,4692,4595,2351,791,25190
11501,13091,8116,3386,1710,77288
11502,2478,1827,728,275,13589
11503,2303,1368,440,119,12470
11504,2102,1153,371,89,15679
11601,8083,4546,1959,753,61158
11602,5078,2391,653,147,45064
11603,5590,2868,1167,341,42530
11701,2527,1393,790,305,23568
11702,3231,1612,709,287,32204
11703,12121,6989,2786,985,149386
11801,9668,7551,3646,1827,82094
11802,9282,5888,2910,1536,82229
11901,9028,5146,2790,1483,69339
11902,6044,3231,1777,775,56638
11903,8641,5184,2807,1363,63280
11904,7852,4760,2678,1533,70677
12001,6391,3952,1671,819,48804
12002,4829,2983,878,248,34728
12003,9828,5191,2623,1291,84927
12101,8773,5661,2691,1345,67024
12102,6732,4257,2083,810,44945
12103,11135,8081,4762,2640,68140
12104,8658,6735,2934,1216,64199
12201,3563,2457,1097,516,25855
12202,6326,4661,2290,1010,33576
12203,11126,7578,4323,2337,81690
12301,3583,2020,849,473,27939
12302,10099,5804,2066,782,67244
12303,3222,1829,825,309,19232
12401,8896,6292,2558,879,42810
12402,0,3,0,0,4
12403,8485,4938,1923,641,61307
12404,2259,1369,731,263,16680
12405,3419,1585,588,205,21823
12501,3920,1798,795,329,40638
12502,5049,2947,1631,608,33899
12503,6849,4025,1993,988,59733
12504,7515,4655,2338,1065,76941
12601,4589,2836,1526,715,27645
12602,9944,6100,3162,1936,76460
12701,4794,2364,954,237,39547
12702,8433,4778,2181,755,60969
